what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1535455045179
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535455092187
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535455106073
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535455108707
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535455158360
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1535455168611
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1535455172862
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1535455175957
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1535455184589
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1535455187222
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1535455190037
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1535455190948
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1535455193321
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1535455264138
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1535455280787
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1535455283648
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1535455322769
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1535455325836
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1535455350490
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1535455354874
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1535455360873
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1535455368282
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1535455371408
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1535455403066
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1535455406245
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535455455475
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535455535097
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535455536785
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535455541128
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535455542593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535455543981
